Type;Base Entity                         ;Rel ;Type;Target Entity
REQU;FUNC-REQ-05 Resupplying             ;USES;DATA;supplier
REQU;FUNC-REQ-05 Resupplying             ;USES;DATA;moment
REQU;FUNC-REQ-05 Resupplying             ;USES;DATA;time
REQU;FUNC-REQ-05 Resupplying             ;EXEC;TEST;ORDERS0020
REQU;FUNC-REQ-05 Resupplying             ;USES;DATA;prices
REQU;FUNC-REQ-05 Resupplying             ;USES;DATA;suppliers
REQU;FUNC-REQ-05 Resupplying             ;EXEC;TEST;ORDERS0021
DOCU;OrderEntry                          ;OWNS;REQU;FUNC-REQ-06 BackOrderProcessing
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;order
REQU;FUNC-REQ-06 BackOrderProcessing     ;EXEC;TEST;ORDERS0022
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;week
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;week
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;back_orders
REQU;FUNC-REQ-06 BackOrderProcessing     ;EXEC;TEST;ORDERS0023
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;order
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;article
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;bill
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;back_order
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;pool
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;back_orders
REQU;FUNC-REQ-06 BackOrderProcessing     ;EXEC;TEST;ORDERS0024
REQU;FUNC-REQ-06 BackOrderProcessing     ;USES;DATA;back_order_pool
REQU;FUNC-REQ-06 BackOrderProcessing     ;EXEC;TEST;ORDERS0025
DOCU;OrderEntry                          ;OWNS;SECT;Non-Functional  requirements
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-01 ResponseTime
REQU;NF-REQ-01 ResponseTime              ;USES;DATA;response_time
REQU;NF-REQ-01 ResponseTime              ;USES;DATA;customer_query
REQU;NF-REQ-01 ResponseTime              ;USES;DATA;second
REQU;NF-REQ-01 ResponseTime              ;EXEC;TEST;ORDERS0026
REQU;NF-REQ-01 ResponseTime              ;USES;DATA;response_time
REQU;NF-REQ-01 ResponseTime              ;USES;DATA;customer_order
REQU;NF-REQ-01 ResponseTime              ;USES;DATA;seconds
REQU;NF-REQ-01 ResponseTime              ;EXEC;TEST;ORDERS0027
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-02 TransactionCapacity
REQU;NF-REQ-02 TransactionCapacity       ;USES;DATA;system
REQU;NF-REQ-02 TransactionCapacity       ;USES;DATA;process
REQU;NF-REQ-02 TransactionCapacity       ;USES;DATA;orders
REQU;NF-REQ-02 TransactionCapacity       ;USES;DATA;hour
REQU;NF-REQ-02 TransactionCapacity       ;USES;DATA;loss
REQU;NF-REQ-02 TransactionCapacity       ;EXEC;TEST;ORDERS0028
DOCU;OrderEntry                          ;OWNS;REQU;NF-REQ-03  availability
REQU;NF-REQ-03  availability             ;USES;DATA;system
REQU;NF-REQ-03  availability             ;USES;DATA;hours
REQU;NF-REQ-03  availability             ;USES;DATA;day
REQU;NF-REQ-03  availability             ;USES;DATA;days
REQU;NF-REQ-03  availability             ;USES;DATA;week
REQU;NF-REQ-03  availability             ;USES;DATA;time
REQU;NF-REQ-03  availability             ;EXEC;TEST;ORDERS0029
